MovieID,Title,Studio,Runtime,Rating,ReleaseDate,ProductionBudget
1,Fantasia 2000,Walt Disney,74.0,G,2000-01-01,
2,Lupin III: The Castle of Cagliostro,Eleven Arts,100.0,PG-13,2000-01-01,
3,Next Friday,Warner Bros.,98.0,R,2000-01-12,9500000.0
4,My Dog Skip,Warner Bros.,95.0,PG,2000-01-12,7000000.0
5,Supernova,United Artists,90.0,R,2000-01-14,60000000.0
6,Down to You,The Weinstein Company,91.0,PG-13,2000-01-21,9000000.0
7,Things You Can Tell Just by Looking at Her,GAGA,109.0,PG-13,2000-01-22,
8,The Big Tease,Warner Bros.,86.0,R,2000-01-28,4000000.0
9,The Cup,Festival Media,93.0,G,2000-01-28,12000000.0
10,Santitos,New Yorker Films,105.0,R,2000-01-28,20000000.0
11,Isn't She Great,Universal Pictures,95.0,R,2000-01-28,36000000.0
12,Grizzly Falls,Providence Entertainment,94.0,PG,2000-01-28,
13,Eye of the Beholder,Destination Film Distribution Corp.,109.0,R,2000-01-28,15000000.0
14,Gun Shy,Hollywood Pictures Home Video,101.0,R,2000-02-04,60000000.0
15,Scream 3,Dimension Films,116.0,R,2000-02-04,40000000.0
16,Knockout,C.E.O. Films,99.0,PG-13,2000-02-04,20000000.0
17,Cotton Mary,Artistic License,124.0,R,2000-02-11,20000000.0
18,The Beach,20th Century Fox,119.0,R,2000-02-11,50000000.0
19,Sex: The Annabel Chong Story,Strand Releasing,,,2000-02-11,1000000.0
20,The Tigger Movie,Walt Disney,77.0,G,2000-02-11,20000000.0
21,Snow Day,Paramount Pictures,89.0,PG,2000-02-11,13000000.0
22,Not One Less,Sony Pictures,106.0,G,2000-02-18,
23,Beautiful People,Trimark Pictures,107.0,R,2000-02-18,18000000.0
24,The Whole Nine Yards,Warner Bros.,98.0,R,2000-02-18,24000000.0
25,Boiler Room,GAGA,120.0,R,2000-02-18,9000000.0
26,Pitch Black,USA Films,109.0,Unrated,2000-02-18,23000000.0
27,The Life and Times of Hank Greenberg,Cowboy Booking International,90.0,PG,2000-02-18,1000000.0
28,Hanging Up,Sony Pictures,94.0,PG-13,2000-02-18,40000000.0
29,Mifune's Last Song,Sony Pictures,98.0,R,2000-02-25,
30,Judy Berlin,Image Entertainment,93.0,,2000-02-25,20000000.0
31,Claire Dolan,New Yorker Films,95.0,,2000-02-25,12000000.0
32,Reindeer Games,Dimension Home Video,104.0,R,2000-02-25,36000000.0
33,Wonder Boys,Paramount Pictures,107.0,R,2000-02-25,35000000.0
34,Theeviravaathi: The Terrorist,Phaedra Cinema,95.0,Unrated,2000-02-25,
35,The Closer You Get,Twentieth Television,90.0,PG-13,2000-02-25,18000000.0
36,3 Strikes,Metro-Goldwyn-Mayer,82.0,R,2000-03-01,4000000.0
37,Drowning Mona,Sony Pictures,96.0,PG-13,2000-03-03,16000000.0
38,The Next Best Thing,Paramount Pictures,108.0,PG-13,2000-03-03,25000000.0
39,What Planet Are You From?,Sony Pictures,105.0,R,2000-03-03,50000000.0
40,Ghost Dog: The Way of the Samurai,Artisan Entertainment,116.0,R,2000-03-03,2000000.0
41,Deterrence,Paramount Pictures,104.0,R,2000-03-10,800000.0
42,Mission to Mars,Walt Disney,114.0,PG,2000-03-10,90000000.0
43,The Ninth Gate,Artisan Entertainment,133.0,R,2000-03-10,38000000.0
44,Condo Painting,USA Films,,,2000-03-10,20000000.0
45,Les convoyeurs attendent,Samuel Goldwyn Films,94.0,,2000-03-17,18000000.0
46,Final Destination,Warner Bros.,98.0,R,2000-03-17,23000000.0
47,Beyond the Mat,Universal Pictures,102.0,Unrated,2000-03-17,
48,Erin Brockovich,Universal Pictures,130.0,R,2000-03-17,50000000.0
49,The Disappearance of Finbar,,120.0,,2000-03-17,
50,Soft Fruit,20th Century Fox,101.0,R,2000-03-17,20000000.0
51,Winter Sleepers,WinStar Cinema,122.0,,2000-03-22,20000000.0
52,Romeo Must Die,Warner Bros.,115.0,R,2000-03-22,25000000.0
53,The Color of Paradise,Sony Pictures,90.0,PG,2000-03-24,12000000.0
54,X,Manga Video,97.0,R,2000-03-24,21000000.0
55,Buddy Boy,Fine Line Features,105.0,R,2000-03-24,21000000.0
56,Waking the Dead,USA Films,105.0,R,2000-03-24,20000000.0
57,Whatever It Takes,Sony Pictures,94.0,PG-13,2000-03-24,15000000.0
58,Such a Long Journey,Shooting Gallery,113.0,,2000-03-24,
59,Here on Earth,20th Century Fox,96.0,PG-13,2000-03-24,15000000.0
60,The Skulls,20th Century Fox,106.0,PG-13,2000-03-31,15000000.0
61,High Fidelity,Walt Disney,113.0,R,2000-03-31,20000000.0
62,Beau Travail,New Yorker Films,90.0,Not Rated,2000-03-31,12000000.0
63,Price of Glory,Warner Bros.,118.0,PG-13,2000-03-31,12000000.0
64,The Road to El Dorado,DreamWorks Distribution,89.0,PG,2000-03-31,95000000.0
65,Black and White,Sony Pictures,98.0,NC-17,2000-04-05,12000000.0
66,Est - Ouest,Sony Pictures,121.0,PG-13,2000-04-07,
67,Rules of Engagement,Paramount Pictures,128.0,R,2000-04-07,60000000.0
68,Southpaw,Shooting Gallery,77.0,,2000-04-07,30000000.0
69,Ready to Rumble,Warner Bros.,107.0,PG-13,2000-04-07,24000000.0
70,Me Myself I,Sony Pictures,104.0,TV-MA,2000-04-07,20750000.0
71,Restaurant,York Entertainment,107.0,R,2000-04-07,20000000.0
72,Return to Me,Metro-Goldwyn-Mayer,115.0,PG,2000-04-07,24000000.0
73,Joe Gould's Secret,USA Films,104.0,R,2000-04-07,12000000.0
74,The Filth and the Fury,Fine Line Features,108.0,TV-MA,2000-04-07,1000000.0
75,Where the Money Is,USA Films,89.0,PG-13,2000-04-14,18000000.0
76,The Girl Next Door,Indican Pictures,82.0,,2000-04-14,25000000.0
77,The Specialist,Kino International,128.0,,2000-04-14,1000000.0
78,Third World Cop,Palm Entertainment,98.0,R,2000-04-14,20000000.0
79,East Is East,The Weinstein Company,96.0,TV-PG,2000-04-14,3000000.0
80,American Psycho,Lionsgate,102.0,NC-17,2000-04-14,8000000.0
81,Set Me Free,Merchant Ivory Productions,95.0,,2000-04-14,20000000.0
82,28 Days,Sony Pictures,103.0,PG-13,2000-04-14,43000000.0
83,Keeping the Faith,Walt Disney,128.0,PG-13,2000-04-14,29000000.0
84,Love & Basketball,Warner Bros.,124.0,PG-13,2000-04-21,15000000.0
85,From the Edge of the City,Mythos Ltd.,94.0,,2000-04-21,20000000.0
86,The Virgin Suicides,Paramount Pictures,97.0,R,2000-04-21,6000000.0
87,Gossip,Warner Bros.,90.0,R,2000-04-21,14000000.0
88,Croupier,Shooting Gallery,94.0,Unrated,2000-04-21,12000000.0
89,J'aimerais pas crever un dimanche,First Run Features,90.0,,2000-04-21,
90,The Last September,Trimark Pictures,103.0,R,2000-04-21,12000000.0
91,U-571,Universal Pictures,116.0,PG-13,2000-04-21,62000000.0
92,Timecode,Sony Pictures,97.0,R,2000-04-28,
93,Bossa Nova,Sony Pictures,95.0,R,2000-04-28,20750000.0
94,The Flintstones in Viva Rock Vegas,Universal Pictures,90.0,PG,2000-04-28,58000000.0
95,Where the Heart Is,20th Century Fox,120.0,PG-13,2000-04-28,15000000.0
96,Committed,The Weinstein Company,98.0,R,2000-04-28,20000000.0
97,The Idiots,USA Films,117.0,R,2000-04-28,20000000.0
98,The Big Kahuna,Lionsgate,90.0,TV-MA,2000-04-28,12000000.0
99,Frequency,Warner Bros.,118.0,PG-13,2000-04-28,31000000.0
100,The Basket,Privileged Communications,105.0,PG,2000-05-05,1300000.0
101,Luminarias,Echo Bridge Home Entertainment,100.0,R,2000-05-05,1000000.0
102,Quince Tree of the Sun,Facets Multimedia Distribution,133.0,,2000-05-05,
103,Michael Jordan to the Max,20th Century Fox,46.0,,2000-05-05,7000000.0
104,Into My Heart,Jean Doumanian Films,97.0,,2000-05-05,
105,La nouvelle Ãve,Sceneries Distribution,94.0,,2000-05-05,
106,Gladiator,DreamWorks Distribution,155.0,R,2000-05-05,103000000.0
107,Human Traffic,The Weinstein Company,99.0,R,2000-05-05,3300000.0
108,Up at the Villa,October Films,115.0,PG-13,2000-05-05,12000000.0
109,I Dreamed of Africa,Sony Pictures,114.0,PG-13,2000-05-05,34000000.0
110,Adorenarin doraibu,Shooting Gallery,112.0,Unrated,2000-05-05,18000000.0
111,Center Stage,Sony Pictures,115.0,PG-13,2000-05-12,18000000.0
112,Hamlet,The Weinstein Company,112.0,R,2000-05-12,10000000.0
113,Coming Soon,Unapix Entertainment Productions,96.0,R,2000-05-12,20000000.0
114,Shadow Boxers,Swerve Films,72.0,,2000-05-12,
115,Held Up,Trimark Pictures,89.0,PG-13,2000-05-12,8000000.0
116,Kadosh,Kino International,110.0,,2000-05-12,12000000.0
117,Battlefield Earth: A Saga of the Year 3000,Warner Bros.,118.0,PG-13,2000-05-12,80000000.0
118,Screwed,Universal Pictures,81.0,PG-13,2000-05-12,12000000.0
119,Small Time Crooks,DreamWorks Distribution,94.0,PG,2000-05-19,18000000.0
120,Cirque du Soleil: Journey of Man,Sony Pictures,39.0,G,2000-05-19,
121,Luminous Motion,Artistic License,91.0,,2000-05-19,12000000.0
122,Dinosaur,Walt Disney,82.0,PG,2000-05-19,127500000.0
123,Road Trip,DreamWorks Distribution,93.0,Unrated,2000-05-19,16000000.0
124,Mission: Impossible II,Paramount Pictures,123.0,PG-13,2000-05-24,
125,8 Â½ Women,Lionsgate,118.0,R,2000-05-26,12000000.0
126,Shanghai Noon,Walt Disney,110.0,PG-13,2000-05-26,55000000.0
127,Passion of Mind,Paramount Pictures,105.0,PG-13,2000-05-26,12000000.0
128,Better Living Through Circuitry,Seventh Art Releasing,85.0,,2000-05-26,1000000.0
129,KikujirÃ´ no natsu,Sony Pictures,121.0,PG-13,2000-05-26,
130,Running Free,Sony Pictures,81.0,G,2000-06-02,20000000.0
131,Thirteen,E.D. Distribution,87.0,,2000-06-02,2000000.0
132,Big Momma's House,20th Century Fox,98.0,PG-13,2000-06-02,33000000.0
133,Grass,Home Vision Entertainment (HVE),80.0,R,2000-06-02,20000000.0
134,American Virgin,Granite Releasing,88.0,R,2000-06-02,
135,Love's Labour's Lost,Intermedia,93.0,PG,2000-06-09,20750000.0
136,Gone in Sixty Seconds,Walt Disney,118.0,Unrated,2000-06-09,
137,Pop & Me,Seventh Art Releasing,91.0,PG-13,2000-06-09,1000000.0
138,Groove,Sony Pictures,86.0,R,2000-06-09,500000.0
139,American Pimp,Seventh Art Releasing,87.0,R,2000-06-09,1000000.0
140,Sunshine,Paramount Pictures,181.0,R,2000-06-09,40000000.0
141,Boys and Girls,Dimension Films,94.0,PG-13,2000-06-16,16000000.0
142,Shaft,Paramount Pictures,99.0,R,2000-06-16,53012938.0
143,Titan A.E.,20th Century Fox,94.0,PG,2000-06-16,75000000.0
144,Marcel Proust's Time Regained,Kino International,169.0,,2000-06-16,
145,HumanitÃ©,20th Century Fox,148.0,,2000-06-16,
146,Jesus' Son,Lionsgate,107.0,R,2000-06-16,2500000.0
147,The Woman Chaser,"Asylum, The",90.0,,2000-06-16,150000.0
148,Butterfly Tongues,The Weinstein Company,96.0,R,2000-06-16,
149,Chicken Run,DreamWorks Distribution,84.0,G,2000-06-21,42000000.0
150,"Me, Myself & Irene",20th Century Fox,116.0,R,2000-06-23,51000000.0
151,Praise,Strand Releasing,98.0,,2000-06-23,20000000.0
152,The Patriot,Sony Pictures,165.0,Unrated,2000-06-28,110000000.0
153,Trixie,Sony Pictures,116.0,R,2000-06-28,20000000.0
154,The Adventures of Rocky & Bullwinkle,Universal Pictures,,PG,2000-06-30,76000000.0
155,The Perfect Storm,Warner Bros.,130.0,PG-13,2000-06-30,120000000.0
156,Scary Movie,Dimension Films,88.0,R,2000-07-07,19000000.0
157,I'm the One That I Want,Cho Taussig Productions,96.0,Unrated,2000-07-07,10000000.0
158,But I'm a Cheerleader,Lionsgate,85.0,R,2000-07-07,1200000.0
159,Shower,Sony Pictures,92.0,PG-13,2000-07-07,12000000.0
160,The Kid,Walt Disney,104.0,PG,2000-07-07,7000000.0
161,All the Rage,Scanbox Entertainment,99.0,R,2000-07-07,1000000.0
162,The Decline of Western Civilization Part III,Spheeris Films Inc.,86.0,,2000-07-07,
163,Chuck & Buck,Artisan Entertainment,96.0,R,2000-07-14,
164,The Wisdom of Crocodiles,The Weinstein Company,98.0,R,2000-07-14,20000000.0
165,The Five Senses,Fine Line Features,106.0,R,2000-07-14,27000000.0
166,Water Drops on Burning Rocks,Zeitgeist Films,90.0,,2000-07-14,
167,Shadow Hours,Newmark Films Inc.,95.0,R,2000-07-14,20000000.0
168,X-Men,20th Century Fox,104.0,PG-13,2000-07-14,75000000.0
169,The In Crowd,Warner Bros.,105.0,PG-13,2000-07-19,15000000.0
170,Les amants criminels,Strand Releasing,96.0,,2000-07-21,
171,PokÃ©mon: The Movie 2000,Warner Bros.,80.0,G,2000-07-21,
172,$pent,Regent Releasing,91.0,,2000-07-21,
173,The Eyes of Tammy Faye,Lionsgate,79.0,PG-13,2000-07-21,12000000.0
174,What Lies Beneath,DreamWorks Distribution,130.0,PG-13,2000-07-21,90000000.0
175,Benjamin Smoke,Cowboy Booking International,72.0,,2000-07-21,1000000.0
176,Loser,Sony Pictures,98.0,PG-13,2000-07-21,20000000.0
177,Alice et Martin,USA Films,120.0,R,2000-07-21,12000000.0
178,Thomas and the Magic Railroad,Destination Films,85.0,G,2000-07-26,19000000.0
179,Nutty Professor II: The Klumps,Universal Pictures,106.0,Unrated,2000-07-28,84000000.0
180,Catfish in Black Bean Sauce,Iron Hill Pictures,119.0,PG-13,2000-07-28,18000000.0
181,Wonderland,USA Films,108.0,R,2000-07-28,20000000.0
182,The Wind Will Carry Us,New Yorker Films,118.0,,2000-07-28,20000000.0
183,Girl on the Bridge,Legend Films,90.0,R,2000-07-28,20750000.0
184,Hollow Man,Sony Pictures,112.0,R,2000-08-04,90000000.0
185,Coyote Ugly,American Broadcasting Company (ABC),100.0,Unrated,2000-08-04,45000000.0
186,The Tic Code,Avalanche Releasing,91.0,R,2000-08-04,12000000.0
187,Psycho Beach Party,Strand Releasing,95.0,Unrated,2000-08-04,4000000.0
188,The Tao of Steve,Sony Pictures,87.0,TV-MA,2000-08-04,20750000.0
189,Better Living,,95.0,,2000-08-04,18000000.0
190,Saving Grace,Fine Line Features,93.0,R,2000-08-04,4000000.0
191,Space Cowboys,Warner Bros.,130.0,PG-13,2000-08-04,65000000.0
192,The Replacements,Warner Bros.,118.0,PG-13,2000-08-11,50000000.0
